log10_x,L_100,L_1000,dc,zero_line
7.24,1.225009,17.247535,-0.670000,0.0
7.26,-2.266995,29.350611,-0.670000,0.0
7.28,-1.040734,-9.420946,-0.670000,0.0
7.30,-2.998012,0.672529,-0.670000,0.0
7.32,-2.350441,-14.154181,-0.670000,0.0
7.34,-6.337229,6.318139,-0.670000,0.0
7.36,-2.940876,-7.309225,-0.670000,0.0
7.38,3.941777,14.519886,-0.670000,0.0
7.40,-2.454562,-22.878214,-0.670000,0.0
7.42,1.745916,7.540165,-0.670000,0.0
7.44,-0.401738,16.926726,-0.670000,0.0
7.46,-1.070067,9.493182,-0.670000,0.0
7.48,-4.649036,-7.547793,-0.670000,0.0
7.50,2.877845,-1.855398,-0.670000,0.0
7.52,-0.702174,8.132191,-0.670000,0.0
7.54,5.080630,7.700561,-0.670000,0.0
7.56,-0.521364,-12.762700,-0.670000,0.0
7.58,5.094857,18.590557,-0.670000,0.0
7.60,-9.104665,-5.414313,-0.670000,0.0
7.62,2.065934,15.554762,-0.670000,0.0
7.64,3.079519,-1.544733,-0.670000,0.0
7.66,-7.322510,-12.913510,-0.670000,0.0
7.68,-2.410558,-14.066046,-0.670000,0.0
7.70,-4.769031,-1.746269,-0.670000,0.0
7.72,-1.552816,1.070927,-0.670000,0.0
7.74,4.468975,24.089993,-0.670000,0.0
7.76,-5.580607,-6.147377,-0.670000,0.0
7.78,1.824706,4.937074,-0.670000,0.0
7.80,4.278755,9.841573,-0.670000,0.0
7.82,-0.070117,-1.071840,-0.670000,0.0
7.84,2.654788,5.267412,-0.670000,0.0
7.86,-3.171038,-7.607365,-0.670000,0.0
7.88,-6.553127,-4.766190,-0.670000,0.0
7.90,3.223854,7.063472,-0.670000,0.0
7.92,-1.478237,-0.904199,-0.670000,0.0
7.94,0.448368,-2.305276,-0.670000,0.0
7.96,-1.231205,-0.853538,-0.670000,0.0
7.98,-2.496582,-20.033000,-0.670000,0.0
8.00,5.007788,8.595224,-0.670000,0.0
8.02,-3.812974,-2.161536,-0.670000,0.0
8.04,-9.392581,-6.546013,-0.670000,0.0
8.06,3.650044,8.426239,-0.670000,0.0
8.08,1.635363,-15.076890,-0.670000,0.0
