log10_x,M_100,M_1000,M_10000,threshold_pos,threshold_neg
131.9,0.029717,-0.001097,0.000280,1.0,-1.0
132.0,-0.090871,-0.072997,-0.082627,1.0,-1.0
132.1,-0.053282,-0.057082,-0.045206,1.0,-1.0
132.2,-0.075173,-0.081714,-0.077015,1.0,-1.0
132.3,0.094450,0.076711,0.091823,1.0,-1.0
132.4,-0.004774,-0.001174,-0.006850,1.0,-1.0
132.5,0.063513,0.079231,0.080193,1.0,-1.0
132.6,-0.022407,0.016326,0.017404,1.0,-1.0
132.7,0.062819,0.073031,0.071575,1.0,-1.0
132.8,0.020867,0.017144,0.011146,1.0,-1.0
132.9,0.010761,0.022101,0.026210,1.0,-1.0
133.0,-0.060025,-0.041205,-0.038587,1.0,-1.0
133.1,0.024312,0.023300,0.023731,1.0,-1.0
133.2,0.006832,0.000372,0.005742,1.0,-1.0
133.3,-0.022132,-0.018588,-0.028592,1.0,-1.0
133.4,0.011840,-0.001787,0.002397,1.0,-1.0
133.5,-0.045063,-0.047871,-0.043418,1.0,-1.0
133.6,0.110317,0.099669,0.109511,1.0,-1.0
133.7,-0.085282,-0.087315,-0.089401,1.0,-1.0
133.8,-0.066060,-0.074108,-0.079600,1.0,-1.0
133.9,-0.022481,-0.036863,-0.038754,1.0,-1.0
134.0,0.133806,0.136251,0.139369,1.0,-1.0
134.1,0.054714,0.024812,0.031079,1.0,-1.0
134.2,0.023201,0.031539,0.038383,1.0,-1.0
134.3,-0.131288,-0.118010,-0.128413,1.0,-1.0
134.4,0.074446,0.077484,0.078500,1.0,-1.0
134.5,-0.006686,-0.002327,0.003822,1.0,-1.0
134.6,-0.023731,-0.018489,-0.012789,1.0,-1.0
134.7,-0.138932,-0.148162,-0.143663,1.0,-1.0
134.8,0.000626,0.020214,0.013527,1.0,-1.0
134.9,-0.025331,-0.003133,-0.006167,1.0,-1.0
135.0,0.073702,0.049250,0.046999,1.0,-1.0
135.1,-0.014052,-0.004150,0.006109,1.0,-1.0
135.2,0.012674,0.019104,0.025033,1.0,-1.0
135.3,0.026227,0.030324,0.030333,1.0,-1.0
135.4,0.041722,0.052752,0.046431,1.0,-1.0
135.5,-0.101836,-0.116429,-0.121651,1.0,-1.0
135.6,-0.021805,-0.045399,-0.053621,1.0,-1.0
135.7,-0.018846,-0.018599,-0.021687,1.0,-1.0
