log10_x,L_reconstructed,wave1,wave2,wave3,wave4,wave5,envelope_pos,envelope_neg,dc_offset
3.60,-1.855916,-0.560650,-0.634821,-0.001527,0.467257,0.172562,5.990122,-5.990122,-0.670000
3.62,-0.571598,-0.682076,-0.399936,0.565072,0.451831,-0.558618,5.990122,-5.990122,-0.670000
3.64,-1.275844,-0.524564,0.181401,0.461327,-0.314659,-0.232954,5.191580,-5.191580,-0.670000
3.66,-0.458630,-0.152527,0.605597,-0.189689,-0.558101,0.533433,5.321394,-5.321394,-0.670000
3.68,-0.258975,0.281886,0.505182,-0.615677,0.126170,0.290623,5.321394,-5.321394,-0.670000
3.70,-0.619247,0.601020,-0.032856,-0.311288,0.600713,-0.502014,5.321394,-5.321394,-0.670000
3.72,1.001053,0.674363,-0.542432,0.362382,0.076710,-0.344895,5.321394,-5.321394,-0.670000
3.74,-1.996023,0.471921,-0.582116,0.606159,-0.574806,0.464728,5.321394,-5.321394,-0.670000
3.76,-0.067707,0.076484,-0.117530,0.130850,-0.270840,0.395136,5.321394,-5.321394,-0.670000
3.78,0.447243,-0.350232,0.448868,-0.499686,0.483334,-0.422011,5.321394,-5.321394,-0.670000
3.80,-3.783766,-0.633719,0.626426,-0.537445,0.434078,-0.440759,5.433087,-5.433087,-0.670000
3.82,1.554503,-0.658041,0.261329,0.062366,-0.336732,0.374361,5.433087,-5.433087,-0.670000
3.84,-2.206831,-0.413254,-0.330149,0.588192,-0.547803,0.481231,5.433087,-5.433087,-0.670000
3.86,-1.538047,0.000536,-0.635629,0.416247,0.151722,-0.322336,5.433087,-5.433087,-0.670000
3.88,0.388304,0.414107,-0.390483,-0.249492,0.599044,-0.516078,5.433087,-5.433087,-0.670000
3.90,0.026578,0.658326,0.192926,-0.619259,0.050594,0.266543,5.433087,-5.433087,-0.670000
3.92,-1.520159,0.633319,0.609209,-0.254399,-0.581957,0.544894,5.433087,-5.433087,-0.670000
3.94,1.283374,0.349311,0.497753,0.412253,-0.247140,-0.207635,5.433087,-5.433087,-0.670000
3.96,0.959232,-0.077549,-0.044892,0.589851,0.498490,-0.567341,5.433087,-5.433087,-0.670000
3.98,-3.200197,-0.472696,-0.548648,0.067709,0.415496,0.146301,5.433087,-5.433087,-0.670000
4.00,-1.520713,-0.674530,-0.577127,-0.534756,-0.358164,0.583157,5.433087,-5.433087,-0.670000
4.02,-2.192769,-0.600511,-0.105659,-0.502840,-0.536459,-0.083257,5.433087,-5.433087,-0.670000
4.04,-0.078718,-0.280909,0.457339,0.125594,0.176984,-0.592158,5.433087,-5.433087,-0.670000
4.06,-0.172517,0.153573,0.624158,0.605036,0.596232,0.019239,5.433087,-5.433087,-0.670000
4.08,1.151644,0.525250,0.250288,0.366725,0.024382,0.594238,5.433087,-5.433087,-0.670000
