log10_x,M_reconstructed,wave1,wave2,wave3,wave4,wave5,envelope_pos,envelope_neg
9.15,0.046794,0.027902,0.001051,-0.018141,0.002810,0.006683,0.145832,-0.145832
9.20,-0.050446,-0.040903,-0.020772,0.021886,-0.009541,0.004827,0.145832,-0.145832
9.25,-0.018126,-0.023281,0.030146,-0.024136,0.015040,-0.014367,0.145832,-0.145832
9.30,0.036347,0.043534,-0.024502,0.024737,-0.018598,0.018045,0.145832,-0.145832
9.35,0.075773,0.018362,0.006652,-0.023648,0.019756,-0.014359,0.145832,-0.145832
9.40,0.041262,-0.045608,0.014511,0.020944,-0.018364,0.004813,0.159215,-0.159215
9.45,-0.015643,-0.013209,-0.028446,-0.016809,0.014603,0.006696,0.159215,-0.159215
9.50,0.046077,0.047101,0.028210,0.011526,-0.008957,-0.015473,0.159215,-0.159215
9.55,-0.038441,0.007887,-0.013921,-0.005456,0.002155,0.017936,0.159215,-0.159215
9.60,-0.062021,-0.047992,-0.007303,-0.000987,0.004925,-0.013080,0.159215,-0.159215
9.65,0.032734,-0.002464,0.024889,0.007363,-0.011370,0.002886,0.159215,-0.159215
9.70,0.025232,0.048270,-0.030076,-0.013236,0.016347,0.008486,0.159215,-0.159215
9.75,0.008374,-0.002990,0.020281,0.018204,-0.019214,-0.016395,0.159215,-0.159215
9.80,-0.094198,-0.047933,-0.000383,-0.021929,0.019602,0.017613,0.159215,-0.159215
9.85,-0.060218,0.008405,-0.019706,0.024156,-0.017460,-0.011644,0.159215,-0.159215
9.90,0.105139,0.046983,0.029978,-0.024733,0.013065,0.000924,0.159215,-0.159215
9.95,0.017363,-0.013714,-0.025316,0.023621,-0.006984,0.010174,0.159215,-0.159215
10.00,-0.132842,-0.045433,0.008043,-0.020895,0.000001,-0.017120,0.159215,-0.159215
10.05,0.021284,0.018847,0.013237,0.016741,0.006981,0.017080,0.159215,-0.159215
10.10,-0.027245,0.043304,-0.027923,-0.011444,-0.013063,-0.010070,0.159215,-0.159215
10.15,0.083773,-0.023740,0.028699,0.005365,0.017459,-0.001049,0.159215,-0.159215
10.20,-0.079663,-0.040622,-0.015178,0.001080,-0.019602,0.011740,0.159215,-0.159215
10.25,0.017998,0.028330,-0.005904,-0.007451,0.019215,-0.017640,0.159215,-0.159215
10.30,0.073415,0.037421,0.024045,0.013314,-0.016348,0.016342,0.159215,-0.159215
10.35,-0.051125,-0.032558,-0.030208,-0.018267,0.011372,-0.008375,0.159215,-0.159215
10.40,-0.011621,-0.033742,0.021322,0.021972,-0.004928,-0.003009,0.134509,-0.134509
10.45,-0.000274,0.036370,-0.001815,-0.024176,-0.002152,0.013166,0.134509,-0.134509
10.50,0.031575,0.029633,-0.018596,0.024729,0.008955,-0.017950,0.134509,-0.134509
10.55,0.000686,-0.039719,0.029744,-0.023593,-0.014601,0.015409,0.184871,-0.184871
10.60,0.020731,-0.025145,-0.026074,0.020845,0.018363,-0.006580,0.184871,-0.184871
10.65,0.015755,0.042560,0.009415,-0.016673,-0.019756,-0.004934,0.184871,-0.184871
10.70,0.121838,0.020336,0.011934,0.011362,0.018599,0.014434,0.184871,-0.184871
10.75,-0.102767,-0.044857,-0.027338,-0.005275,-0.015041,-0.018044,0.184871,-0.184871
10.80,0.022092,-0.015268,0.029124,-0.001172,0.009543,0.014291,0.184871,-0.184871
10.85,-0.003880,0.046582,-0.016401,0.007540,-0.002813,-0.004706,0.184871,-0.184871
10.90,-0.031033,0.010005,-0.004492,-0.013392,-0.004280,-0.006799,0.184871,-0.184871
10.95,-0.006904,-0.047713,0.023147,0.018329,0.010821,0.015530,0.184871,-0.184871
11.00,-0.057255,-0.004614,-0.030271,-0.022015,-0.015965,-0.017924,0.184871,-0.184871
11.05,0.124295,0.048234,0.022316,0.024196,0.019049,0.013003,0.184871,-0.184871
11.10,-0.045728,-0.000836,-0.003243,-0.024725,-0.019674,-0.002776,0.184871,-0.184871
11.15,0.003129,-0.048140,-0.017445,0.023565,0.017761,-0.008583,0.184871,-0.184871
11.20,0.005687,0.006276,0.029443,-0.020795,-0.013555,0.016441,0.184871,-0.184871
11.25,0.000346,0.047431,-0.026773,0.016604,0.007600,-0.017589,0.184871,-0.184871
11.30,-0.069399,-0.011635,0.010767,-0.011280,-0.000664,0.011560,0.184871,-0.184871
11.35,-0.032328,-0.046116,0.010603,0.005184,-0.006357,-0.000813,0.184871,-0.184871
11.40,0.049677,0.016845,-0.026691,0.001265,0.012558,-0.010265,0.184871,-0.184871
11.45,0.037747,0.044213,0.029483,-0.007628,-0.017139,0.017154,0.184871,-0.184871
11.50,0.024135,-0.021841,-0.017587,0.013470,0.019508,-0.017043,0.184871,-0.184871
11.55,-0.057810,-0.041745,-0.003070,-0.018391,-0.019359,0.009978,0.151212,-0.151212
11.60,0.087209,0.026557,0.022197,0.022057,0.016711,0.001160,0.151212,-0.151212
11.65,-0.027717,0.038744,-0.030267,-0.024216,-0.011908,-0.011824,0.151212,-0.151212
11.70,0.052026,-0.030935,0.023259,0.024720,0.005567,0.017663,0.151212,-0.151212
11.75,-0.093882,-0.035249,-0.004664,-0.023536,0.001492,-0.016294,0.151212,-0.151212
11.80,0.050718,0.034918,-0.016254,0.020744,-0.008359,0.008277,0.151212,-0.151212
11.85,0.055257,0.031304,0.029075,-0.016535,0.014146,0.003119,0.151212,-0.151212
11.90,-0.032978,-0.038455,-0.027413,0.011197,-0.018108,-0.013241,0.151212,-0.151212
11.95,0.007416,-0.026959,0.012094,-0.005094,0.019734,0.017961,0.151212,-0.151212
12.00,0.008520,0.041501,0.009249,-0.001357,-0.018812,-0.015351,0.151212,-0.151212
12.05,0.058829,0.022270,-0.025985,0.007716,0.015463,0.006477,0.138841,-0.138841
12.10,-0.074188,-0.044017,0.029776,-0.013547,-0.010118,0.005040,0.138841,-0.138841
12.15,0.006371,-0.017296,-0.018734,0.018453,0.003467,-0.014500,0.138841,-0.138841
12.20,-0.002461,0.045971,-0.001641,-0.022099,0.003631,0.018043,0.138841,-0.138841
12.25,0.033357,0.012102,0.021198,0.024235,-0.010260,-0.014223,0.138841,-0.138841
12.30,-0.029338,-0.047338,-0.030195,-0.024715,0.015566,0.004599,0.138841,-0.138841
12.35,0.094417,-0.006754,0.024151,0.023507,-0.018862,0.006902,0.138841,-0.138841
12.40,-0.005397,0.048102,-0.006075,-0.020694,0.019725,-0.015586,0.138841,-0.138841
12.45,-0.002700,0.001319,-0.015027,0.016466,-0.018041,0.017911,0.138841,-0.138841
12.50,-0.019383,-0.048251,0.028643,-0.011114,0.014030,-0.012926,0.138841,-0.138841
12.55,-0.058097,0.004133,-0.027990,0.005003,-0.008208,0.002667,0.148884,-0.148884
12.60,-0.027766,0.047784,0.013394,0.001450,0.001327,0.008681,0.148884,-0.148884
12.65,-0.109926,-0.009532,0.007874,-0.007804,0.005726,-0.016486,0.148884,-0.148884
12.70,-0.035099,-0.046707,-0.025220,0.013625,-0.012040,0.017564,0.148884,-0.148884
12.75,0.054057,0.014809,0.030002,-0.018515,0.016799,-0.011474,0.148884,-0.148884
12.80,0.052637,0.045033,-0.019839,0.022140,-0.019391,0.000703,0.148884,-0.148884
12.85,-0.016022,-0.019898,-0.000208,-0.024253,0.019480,0.010356,0.148884,-0.148884
12.90,-0.068214,-0.042785,0.020151,0.024710,-0.017056,-0.017188,0.148884,-0.148884
12.95,0.010295,0.024732,-0.030056,-0.023478,0.012430,0.017007,0.148884,-0.148884
13.00,0.014655,0.039991,0.024988,0.020643,-0.006200,-0.009885,0.148884,-0.148884
13.05,-0.108057,-0.029250,-0.007472,-0.016397,-0.000830,-0.001270,0.148884,-0.148884
13.10,-0.011957,-0.036686,-0.013766,0.011031,0.007753,0.011907,0.183054,-0.183054
13.15,0.076299,0.033395,0.028146,-0.004912,-0.013675,-0.017685,0.183054,-0.183054
13.20,0.026590,0.032913,-0.028505,-0.001542,0.017833,0.016247,0.183054,-0.183054
13.25,-0.026959,-0.037114,0.014664,0.007892,-0.019689,-0.008178,0.183054,-0.183054
13.30,0.017884,-0.028719,0.006482,-0.013702,0.019004,-0.003228,0.183054,-0.183054
13.35,0.062436,0.040359,-0.024399,0.018576,-0.015867,0.013316,0.183054,-0.183054
13.40,-0.000649,0.024159,0.030162,-0.022182,0.010682,-0.017971,0.183054,-0.183054
13.45,-0.046878,-0.043089,-0.020899,0.024272,-0.004118,0.015292,0.183054,-0.183054
13.50,0.017308,-0.019291,0.001225,-0.024704,-0.002977,-0.006373,0.183054,-0.183054
13.55,0.122576,0.045268,0.019059,0.023448,0.009688,-0.005147,0.183054,-0.183054
13.60,0.018714,0.014176,-0.029849,-0.020591,-0.015148,0.014566,0.183054,-0.183054
13.65,-0.055760,-0.046870,0.025769,0.016328,0.018654,-0.018042,0.183054,-0.183054
13.70,-0.000780,-0.008880,-0.008853,-0.010948,-0.019752,0.014155,0.183054,-0.183054
13.75,0.054770,0.047873,-0.012474,0.004821,0.018302,-0.004492,0.183054,-0.183054
13.80,-0.010122,0.003471,0.027586,0.001635,-0.014489,-0.007004,0.183054,-0.183054
13.85,-0.109348,-0.048265,-0.028957,-0.007979,0.008806,0.015642,0.183054,-0.183054
