log10_x,total,wave_1_gamma_14.1,wave_2_gamma_21.0,wave_3_gamma_25.0,wave_4_gamma_30.4,wave_5_gamma_32.9,wave_6_gamma_37.6,wave_7_gamma_40.9,wave_8_gamma_43.3,wave_9_gamma_48.0,wave_10_gamma_49.8
311.910,-0.060974,-0.043007,-0.013334,-0.018200,-0.019341,-0.014166,0.015055,0.013753,-0.000142,0.011661,0.006746
311.920,-0.080970,-0.047758,0.000849,-0.006127,-0.017392,-0.017971,0.006883,0.010578,-0.011174,0.006613,-0.005471
311.930,-0.080314,-0.047495,0.014836,0.007923,-0.007250,-0.011927,-0.006130,-0.001314,-0.011978,-0.005725,-0.011255
311.940,-0.034779,-0.042245,0.025415,0.019417,0.006306,0.000655,-0.014831,-0.012122,-0.001816,-0.011752,-0.003805
311.950,0.039271,-0.032560,0.030154,0.024647,0.016892,0.012877,-0.013100,-0.012943,0.010008,-0.004824,0.008120
311.960,0.093335,-0.019456,0.027965,0.021927,0.019521,0.018042,-0.002154,-0.003099,0.012670,0.007422,0.010496
311.970,0.088804,-0.004309,0.019350,0.012132,0.012955,0.013319,0.010307,0.009298,0.003734,0.011486,0.000530
311.980,0.031348,0.011291,0.006290,-0.001576,0.000287,0.001296,0.015518,0.014034,-0.008620,0.002888,-0.010059
311.990,-0.035018,0.025704,-0.008216,-0.014775,-0.012517,-0.011437,0.009814,0.007206,-0.013084,-0.008894,-0.008820
312.000,-0.065954,0.037419,-0.020834,-0.023209,-0.019424,-0.017902,-0.002794,-0.005559,-0.005570,-0.010871,0.002790
312.010,-0.049235,0.045205,-0.028665,-0.024155,-0.017183,-0.014555,-0.013436,-0.013744,0.007043,-0.000865,0.011120
312.020,-0.004607,0.048245,-0.029910,-0.017309,-0.006847,-0.003231,-0.014627,-0.010604,0.013208,0.010095,0.006374
312.030,0.040720,0.046219,-0.024282,-0.004880,0.006714,0.009864,-0.005530,0.001273,0.007282,0.009927,-0.005867
312.040,0.071910,0.039341,-0.013076,0.009124,0.017112,0.017553,0.007458,0.012102,-0.005310,-0.001185,-0.011209
312.050,0.085479,0.028332,0.001135,0.020184,0.019450,0.015622,0.015199,0.012959,-0.013041,-0.010990,-0.003370
312.060,0.078227,0.014348,0.015085,0.024734,0.012626,0.005129,0.012249,0.003139,-0.008834,-0.008680,0.008431
312.070,0.045803,-0.001142,0.025569,0.021304,-0.000145,-0.008175,0.000683,-0.009268,0.003460,0.003198,0.010319
312.080,-0.006370,-0.016513,0.030178,0.011002,-0.012848,-0.016998,-0.011364,-0.014038,0.012587,0.011551,0.000072
312.090,-0.056706,-0.030149,0.027853,-0.002850,-0.019499,-0.016505,-0.015417,-0.007241,0.010191,0.007170,-0.010259
312.100,-0.079485,-0.040620,0.019129,-0.015781,-0.016965,-0.006966,-0.008626,0.005522,-0.001534,-0.005115,-0.008527
312.110,-0.066907,-0.046826,0.006009,-0.023622,-0.006441,0.006391,0.004233,0.013735,-0.011855,-0.011762,0.003232
312.120,-0.037918,-0.048116,-0.008491,-0.023843,0.007118,0.016245,0.014114,0.010631,-0.011324,-0.005442,0.011190
312.130,-0.021971,-0.044354,-0.021041,-0.016372,0.017324,0.017196,0.014068,-0.001232,-0.000426,0.006876,0.005990
312.140,-0.031950,-0.035934,-0.028756,-0.003620,0.019369,0.008723,0.004126,-0.012081,0.010861,0.011615,-0.006254
312.150,-0.052627,-0.023742,-0.029864,0.010300,0.012291,-0.004531,-0.008718,-0.012975,0.012206,0.003549,-0.011144
312.160,-0.055737,-0.009057,-0.024110,0.020898,-0.000576,-0.015302,-0.015430,-0.003178,0.002377,-0.008429,-0.002930
312.170,-0.026407,0.006579,-0.012816,0.024754,-0.013172,-0.017686,-0.011288,0.009237,-0.009628,-0.011115,0.008729
312.180,0.024221,0.021524,0.001422,0.020624,-0.019564,-0.010377,0.000794,0.014041,-0.012819,-0.001549,0.010124
312.190,0.069921,0.034209,0.015333,0.009842,-0.016740,0.002619,0.012317,0.007276,-0.004276,0.009725,-0.000386
312.200,0.090768,0.043303,0.025722,-0.004116,-0.006031,0.014180,0.015176,-0.005484,0.008182,0.010278,-0.010442
312.210,0.084857,0.047850,0.030200,-0.016746,0.007519,0.017969,0.007360,-0.013726,0.013150,-0.000499,-0.008220
312.220,0.063306,0.047373,0.027740,-0.023973,0.017527,0.011910,-0.005633,-0.010658,0.006080,-0.010726,0.003668
312.230,0.038048,0.041922,0.018906,-0.023467,0.019279,-0.000677,-0.014664,0.001192,-0.006556,-0.009129,0.011243
