log10_x,mertens_30,mertens_100,mertens_1000,threshold_1,threshold_neg1
38.4,-0.049873,-0.058577,-0.048974,1.0,-1.0
38.5,0.082353,0.081632,0.077182,1.0,-1.0
38.6,-0.024675,-0.000346,0.019679,1.0,-1.0
38.7,0.008991,0.022853,0.004254,1.0,-1.0
38.8,-0.087559,-0.115064,-0.105773,1.0,-1.0
38.9,-0.027117,-0.046280,-0.049932,1.0,-1.0
39.0,0.007692,0.000870,0.017732,1.0,-1.0
39.1,0.002151,0.004320,0.010327,1.0,-1.0
39.2,0.024109,0.016813,0.037280,1.0,-1.0
39.3,0.034086,0.028230,0.041940,1.0,-1.0
39.4,0.030717,0.040391,0.044579,1.0,-1.0
39.5,-0.008873,-0.015809,-0.009502,1.0,-1.0
39.6,0.016438,0.044780,0.058939,1.0,-1.0
39.7,-0.045174,-0.009466,-0.017250,1.0,-1.0
39.8,0.044283,0.062383,0.058448,1.0,-1.0
39.9,-0.089750,-0.130393,-0.158406,1.0,-1.0
40.0,0.007135,-0.013266,-0.025048,1.0,-1.0
40.1,-0.042399,-0.064186,-0.050231,1.0,-1.0
40.2,0.107932,0.109126,0.123293,1.0,-1.0
40.3,0.025901,0.038757,0.037768,1.0,-1.0
40.4,0.067539,0.026364,0.016077,1.0,-1.0
40.5,-0.096826,-0.098236,-0.077941,1.0,-1.0
40.6,0.021018,0.034460,0.008295,1.0,-1.0
40.7,-0.006610,0.001287,0.000102,1.0,-1.0
40.8,0.016852,0.026518,0.041555,1.0,-1.0
40.9,-0.004597,0.004523,0.016105,1.0,-1.0
41.0,-0.042550,-0.057582,-0.038639,1.0,-1.0
41.1,-0.045151,-0.033146,-0.033352,1.0,-1.0
41.2,0.037554,0.074980,0.082907,1.0,-1.0
41.3,-0.025033,-0.019231,-0.013837,1.0,-1.0
41.4,0.015910,0.016014,0.023486,1.0,-1.0
41.5,-0.052684,-0.083298,-0.090524,1.0,-1.0
41.6,-0.048542,-0.069670,-0.074374,1.0,-1.0
41.7,0.089377,0.094176,0.095865,1.0,-1.0
41.8,-0.015542,-0.002270,0.000921,1.0,-1.0
41.9,0.060720,0.026907,-0.004907,1.0,-1.0
42.0,-0.003983,-0.028468,-0.033551,1.0,-1.0
42.1,0.057443,0.071669,0.078681,1.0,-1.0
42.2,-0.030426,-0.021147,-0.028130,1.0,-1.0
42.3,-0.025475,-0.009011,-0.015988,1.0,-1.0
42.4,-0.111273,-0.115400,-0.108822,1.0,-1.0
42.5,0.077020,0.111792,0.115955,1.0,-1.0
42.6,-0.031632,-0.012924,-0.012971,1.0,-1.0
42.7,0.098846,0.095742,0.107483,1.0,-1.0
42.8,-0.056519,-0.064524,-0.041297,1.0,-1.0
42.9,0.094352,0.085884,0.095951,1.0,-1.0
43.0,-0.008259,-0.025047,-0.008106,1.0,-1.0
43.1,0.100486,0.085251,0.084532,1.0,-1.0
43.2,-0.126432,-0.133756,-0.114834,1.0,-1.0
43.3,-0.015255,0.005001,0.004899,1.0,-1.0
43.4,-0.129026,-0.116513,-0.105179,1.0,-1.0
43.5,0.022715,0.000716,-0.028441,1.0,-1.0
43.6,-0.053430,-0.056430,-0.060209,1.0,-1.0
43.7,0.045347,0.059385,0.075812,1.0,-1.0
43.8,0.017701,0.032104,0.040350,1.0,-1.0
43.9,0.067847,0.061544,0.060084,1.0,-1.0
44.0,-0.031479,-0.001574,-0.026761,1.0,-1.0
44.1,0.071047,0.078927,0.059131,1.0,-1.0
44.2,-0.012435,-0.025927,-0.034574,1.0,-1.0
44.3,0.069260,0.102810,0.139121,1.0,-1.0
44.4,-0.056905,-0.093206,-0.132659,1.0,-1.0
44.5,-0.054069,-0.043388,-0.031183,1.0,-1.0
44.6,-0.008485,-0.033890,-0.028604,1.0,-1.0
44.7,-0.020631,-0.044675,-0.049708,1.0,-1.0
44.8,0.026591,0.015931,-0.005659,1.0,-1.0
44.9,-0.061774,-0.068455,-0.075937,1.0,-1.0
45.0,-0.049687,-0.074914,-0.073717,1.0,-1.0
45.1,0.040561,0.052470,0.054761,1.0,-1.0
45.2,0.071251,0.084204,0.079188,1.0,-1.0
45.3,0.011115,0.016538,0.021951,1.0,-1.0
45.4,0.055418,0.059258,0.051101,1.0,-1.0
45.5,-0.001629,-0.009911,-0.022323,1.0,-1.0
45.6,0.112692,0.137885,0.144491,1.0,-1.0
45.7,-0.068593,-0.066153,-0.071435,1.0,-1.0
45.8,-0.062846,-0.062796,-0.078008,1.0,-1.0
45.9,-0.054458,-0.085135,-0.118727,1.0,-1.0
46.0,0.053044,0.034789,0.033480,1.0,-1.0
46.1,-0.043194,-0.028740,-0.026076,1.0,-1.0
46.2,-0.013198,-0.000243,0.008133,1.0,-1.0
46.3,-0.075417,-0.063159,-0.081226,1.0,-1.0
46.4,0.074919,0.076571,0.083783,1.0,-1.0
46.5,0.066733,0.072256,0.078597,1.0,-1.0
46.6,-0.036952,-0.034055,-0.048475,1.0,-1.0
46.7,-0.063390,-0.054182,-0.069793,1.0,-1.0
46.8,-0.022659,-0.005244,-0.003763,1.0,-1.0
46.9,0.003591,0.003748,0.001741,1.0,-1.0
47.0,0.064878,0.054067,0.048787,1.0,-1.0
47.1,-0.058914,-0.038210,-0.050586,1.0,-1.0
47.2,0.033738,0.038117,0.025748,1.0,-1.0
47.3,0.059279,0.063264,0.071178,1.0,-1.0
47.4,-0.012940,-0.022894,-0.014373,1.0,-1.0
47.5,0.035839,0.031130,-0.000692,1.0,-1.0
47.6,-0.030223,-0.044781,-0.020533,1.0,-1.0
47.7,0.053458,0.062540,0.054980,1.0,-1.0
47.8,-0.010892,-0.056037,-0.024314,1.0,-1.0
47.9,-0.016123,0.012475,0.021216,1.0,-1.0
48.0,-0.041516,-0.055487,-0.071244,1.0,-1.0
48.1,0.044110,0.050892,0.073337,1.0,-1.0
48.2,-0.065195,-0.082067,-0.062859,1.0,-1.0
48.3,0.052111,0.105117,0.093795,1.0,-1.0
48.4,-0.131170,-0.155289,-0.119117,1.0,-1.0
48.5,0.062033,0.065132,0.082756,1.0,-1.0
48.6,-0.065465,-0.102075,-0.113084,1.0,-1.0
48.7,0.126052,0.102728,0.126643,1.0,-1.0
48.8,-0.039934,-0.036354,-0.051004,1.0,-1.0
48.9,0.103198,0.079471,0.059606,1.0,-1.0
49.0,-0.046046,-0.031753,-0.056216,1.0,-1.0
49.1,0.069870,0.088023,0.068305,1.0,-1.0
49.2,-0.101825,-0.076855,-0.060523,1.0,-1.0
49.3,-0.001949,-0.000055,-0.020599,1.0,-1.0
49.4,-0.062945,-0.063401,-0.043190,1.0,-1.0
49.5,0.000226,-0.010846,-0.013990,1.0,-1.0
49.6,-0.033297,-0.038270,-0.076160,1.0,-1.0
49.7,-0.004976,-0.001013,0.003802,1.0,-1.0
49.8,0.007763,0.020211,0.033826,1.0,-1.0
49.9,0.091078,0.103419,0.109037,1.0,-1.0
50.0,0.023335,0.015913,-0.007575,1.0,-1.0
50.1,0.003695,0.003240,0.014282,1.0,-1.0
50.2,-0.043734,-0.052846,-0.057556,1.0,-1.0
50.3,-0.018214,-0.001861,0.021066,1.0,-1.0
