log10_x,total,wave_1_gamma_14.1,wave_2_gamma_21.0,wave_3_gamma_25.0,wave_4_gamma_30.4,wave_5_gamma_32.9,wave_6_gamma_37.6,wave_7_gamma_40.9,wave_8_gamma_43.3,wave_9_gamma_48.0,wave_10_gamma_49.8
5.800,-0.021290,0.014678,-0.027893,0.021235,-0.017380,0.000717,-0.009740,-0.002185,0.007363,0.002727,-0.010813
5.810,0.052785,0.028611,-0.030170,0.024739,-0.019346,0.012921,0.002887,0.009977,0.013207,0.011449,-0.001490
5.820,0.091629,0.039540,-0.025515,0.020262,-0.012200,0.018043,0.013484,0.013918,0.006961,0.007550,0.009585
5.830,0.074585,0.046318,-0.014997,0.009249,0.000693,0.013277,0.014595,0.006392,-0.005657,-0.004672,0.009389
5.840,0.029295,0.048232,-0.001034,-0.004748,0.013259,0.001234,0.005441,-0.006401,-0.013097,-0.011744,-0.001848
5.850,0.002342,0.045083,0.013167,-0.017213,0.019580,-0.011485,-0.007541,-0.013920,-0.008547,-0.005869,-0.010912
5.860,0.014155,0.037200,0.024343,-0.024125,0.016678,-0.017910,-0.015218,-0.009969,0.003827,0.006476,-0.007145
5.870,0.042890,0.025411,0.029925,-0.023255,0.005920,-0.014518,-0.012191,0.002196,0.012697,0.011682,0.005024
5.880,0.051109,0.010954,0.028632,-0.014883,-0.007627,-0.003170,-0.000588,0.012552,0.009944,0.004010,0.011285
5.890,0.025008,-0.004653,0.020760,-0.001709,-0.017581,0.009916,0.011428,0.012565,-0.001912,-0.008082,0.004277
5.900,-0.014737,-0.019772,0.008118,0.012015,-0.019254,0.017567,0.015406,0.002225,-0.012018,-0.011265,-0.007761
5.910,-0.038831,-0.032814,-0.006389,0.021864,-0.011857,0.015590,0.008547,-0.009948,-0.011122,-0.002030,-0.010672
5.920,-0.040871,-0.042411,-0.019428,0.024660,0.001124,0.005069,-0.004324,-0.013925,-0.000045,0.009443,-0.001034
5.930,-0.039895,-0.047556,-0.028003,0.019500,0.013576,-0.008230,-0.014153,-0.006428,0.011074,0.010506,0.009820
5.940,-0.053679,-0.047707,-0.030144,0.008050,0.019633,-0.017019,-0.014027,0.006365,0.012055,-0.000013,0.009127
5.950,-0.075178,-0.042849,-0.025359,-0.005997,0.016442,-0.016480,-0.004034,0.013914,0.002001,-0.010517,-0.002298
5.960,-0.079291,-0.033492,-0.014748,-0.018109,0.005507,-0.006909,0.008797,0.009998,-0.009885,-0.009428,-0.011021
5.970,-0.051488,-0.020619,-0.000747,-0.024380,-0.008023,0.006449,0.015440,-0.002156,-0.012722,0.002054,-0.006784
5.980,-0.004965,-0.005581,0.013425,-0.022786,-0.017774,0.016272,0.011222,-0.012533,-0.003912,0.011272,0.005430
5.990,0.033068,0.010043,0.024512,-0.013841,-0.019152,0.017177,-0.000889,-0.012584,0.008478,0.008064,0.011259
6.000,0.049590,0.024613,0.029967,-0.000432,-0.011509,0.008668,-0.012375,-0.002266,0.013108,-0.004034,0.003849
6.010,0.055945,0.036598,0.028537,0.013117,0.001555,-0.004592,-0.015156,0.009919,0.005738,-0.011685,-0.008087
6.020,0.069079,0.044741,0.020550,0.022434,0.013886,-0.015335,-0.007277,0.013931,-0.006885,-0.006455,-0.010514
6.030,0.086840,0.048186,0.007842,0.024515,0.019677,-0.017674,0.005722,0.006464,-0.013205,0.005891,-0.000578
6.040,0.087172,0.046572,-0.006669,0.018687,0.016199,-0.010326,0.014695,-0.006329,-0.007437,0.011742,0.010038
6.050,0.053086,0.040068,-0.019647,0.006830,0.005091,0.002681,0.013332,-0.013907,0.005139,0.004649,0.008850
6.060,-0.004919,0.029357,-0.028111,-0.007229,-0.008416,0.014219,0.002591,-0.010027,0.013011,-0.007569,-0.002744
6.070,-0.054944,0.015564,-0.030116,-0.018957,-0.017958,0.017963,-0.009973,0.002115,0.008972,-0.011444,-0.011112
