log10_x,pi_100,pi_1000,pi_10000,zero_line
252.2,-0.011065,-0.008666,-0.008024,0.0
252.4,0.013666,0.016155,0.016462,0.0
252.6,0.005216,0.011149,0.009488,0.0
252.8,0.015744,0.010030,0.011642,0.0
253.0,-0.014393,-0.013913,-0.015144,0.0
253.2,-0.017164,-0.014391,-0.015204,0.0
253.4,0.010580,0.006940,0.007562,0.0
253.6,-0.040765,-0.037043,-0.036404,0.0
253.8,-0.007635,-0.008965,-0.009011,0.0
254.0,-0.030210,-0.031797,-0.032456,0.0
254.2,-0.003341,-0.004290,-0.003763,0.0
254.4,-0.029485,-0.026951,-0.025994,0.0
254.6,-0.021150,-0.022523,-0.022707,0.0
254.8,-0.024518,-0.032173,-0.032597,0.0
255.0,-0.006606,-0.007876,-0.009651,0.0
255.2,-0.001856,-0.004926,-0.005140,0.0
255.4,-0.023291,-0.021825,-0.021108,0.0
255.6,0.003329,0.003714,0.003308,0.0
255.8,0.001408,0.002340,0.001109,0.0
256.0,0.021250,0.019574,0.019751,0.0
256.2,0.017707,0.015549,0.016359,0.0
256.4,0.004566,0.004208,0.003261,0.0
256.6,0.003523,0.002588,0.002987,0.0
256.8,0.023232,0.020617,0.019471,0.0
257.0,0.001972,0.002565,0.001310,0.0
257.2,0.003550,0.008638,0.008835,0.0
257.4,0.026317,0.025805,0.025970,0.0
257.6,0.019968,0.019114,0.021113,0.0
257.8,0.026082,0.025298,0.025580,0.0
258.0,-0.013016,-0.012012,-0.011767,0.0
258.2,0.007730,0.006339,0.008367,0.0
258.4,-0.006507,-0.005007,-0.003928,0.0
258.6,0.024951,0.025410,0.024013,0.0
258.8,-0.026805,-0.026151,-0.027610,0.0
259.0,-0.011808,-0.009363,-0.008125,0.0
259.2,-0.038132,-0.034046,-0.034458,0.0
259.4,-0.027188,-0.028153,-0.026670,0.0
259.6,-0.010533,-0.005430,-0.007095,0.0
259.8,-0.019749,-0.022140,-0.022628,0.0
260.0,-0.009754,-0.012416,-0.013320,0.0
260.2,-0.027275,-0.027756,-0.029430,0.0
260.4,-0.023409,-0.021420,-0.021417,0.0
260.6,-0.033737,-0.031754,-0.033013,0.0
260.8,-0.002821,-0.003742,-0.004120,0.0
261.0,-0.010746,-0.008079,-0.006768,0.0
261.2,0.018189,0.018249,0.018159,0.0
261.4,-0.002102,-0.002385,-0.002683,0.0
261.6,0.005968,0.006608,0.004806,0.0
261.8,-0.012446,-0.010238,-0.010886,0.0
262.0,0.018744,0.023090,0.023607,0.0
262.2,0.004535,0.005542,0.004803,0.0
262.4,0.024081,0.024098,0.023933,0.0
262.6,0.018495,0.018015,0.017858,0.0
262.8,-0.015630,-0.016568,-0.017020,0.0
263.0,0.030210,0.027962,0.028952,0.0
263.2,0.006464,0.006576,0.008003,0.0
263.4,0.035048,0.033429,0.032409,0.0
263.6,0.012649,0.012019,0.011730,0.0
263.8,-0.008894,-0.012767,-0.012546,0.0
264.0,-0.011045,-0.009654,-0.010897,0.0
264.2,-0.016662,-0.013936,-0.013773,0.0
264.4,0.000893,-0.000447,-0.001711,0.0
264.6,-0.004874,-0.003330,-0.004122,0.0
264.8,-0.013447,-0.012420,-0.011975,0.0
265.0,-0.040807,-0.037630,-0.036764,0.0
265.2,-0.037069,-0.040026,-0.040451,0.0
265.4,-0.018286,-0.020080,-0.019936,0.0
265.6,-0.009686,-0.009077,-0.009334,0.0
265.8,-0.004676,-0.006103,-0.007355,0.0
266.0,-0.005447,-0.003719,-0.004277,0.0
266.2,-0.040661,-0.035977,-0.036563,0.0
266.4,-0.011257,-0.012005,-0.011567,0.0
266.6,-0.011869,-0.010556,-0.009654,0.0
266.8,0.002222,0.002666,0.001936,0.0
267.0,0.014365,0.013347,0.013827,0.0
267.2,0.007051,0.009083,0.011237,0.0
267.4,0.011664,0.010355,0.010530,0.0
267.6,-0.006680,-0.003563,-0.004269,0.0
267.8,0.016482,0.014973,0.013804,0.0
268.0,0.014453,0.015666,0.016115,0.0
268.2,0.040475,0.039935,0.040204,0.0
268.4,-0.001671,0.004715,0.005463,0.0
268.6,-0.000477,-0.001447,-0.000523,0.0
268.8,0.009442,0.003631,0.002566,0.0
269.0,0.009668,0.006191,0.004429,0.0
269.2,0.000044,0.000764,0.000222,0.0
269.4,-0.004335,-0.008508,-0.008740,0.0
269.6,-0.002371,-0.005534,-0.005983,0.0
269.8,0.003747,0.001473,0.000815,0.0
270.0,-0.004527,-0.009258,-0.009022,0.0
270.2,-0.019555,-0.021578,-0.021716,0.0
270.4,-0.006956,-0.008489,-0.008349,0.0
270.6,-0.018441,-0.019393,-0.019186,0.0
270.8,-0.010663,-0.010647,-0.011015,0.0
271.0,-0.041196,-0.039222,-0.039664,0.0
271.2,-0.019221,-0.017486,-0.016796,0.0
271.4,-0.031364,-0.031381,-0.031395,0.0
271.6,0.017394,0.018126,0.018434,0.0
271.8,-0.013834,-0.013849,-0.014778,0.0
272.0,-0.003638,-0.006748,-0.004770,0.0
272.2,-0.013828,-0.009899,-0.009537,0.0
272.4,-0.000933,-0.002782,-0.003646,0.0
272.6,-0.004511,-0.005455,-0.006143,0.0
272.8,-0.003376,-0.001616,-0.003127,0.0
273.0,0.021444,0.019629,0.019897,0.0
273.2,0.024178,0.026703,0.027098,0.0
273.4,0.014891,0.013850,0.011899,0.0
273.6,0.005196,0.004530,0.003614,0.0
273.8,0.017539,0.017129,0.016383,0.0
274.0,0.027593,0.030162,0.030097,0.0
274.2,0.012414,0.009574,0.009460,0.0
274.4,0.000537,-0.003695,-0.003238,0.0
274.6,0.013679,0.014754,0.015095,0.0
274.8,0.007732,0.006207,0.006269,0.0
275.0,-0.003799,-0.003100,-0.002659,0.0
275.2,0.003530,0.004968,0.004569,0.0
275.4,-0.022642,-0.020471,-0.019949,0.0
275.6,-0.001753,-0.005805,-0.007085,0.0
275.8,-0.036498,-0.031934,-0.032554,0.0
276.0,-0.011638,-0.011425,-0.012113,0.0
276.2,-0.035690,-0.034553,-0.033361,0.0
276.4,-0.013816,-0.012244,-0.011729,0.0
276.6,-0.015050,-0.011779,-0.011055,0.0
276.8,-0.016743,-0.019858,-0.020725,0.0
277.0,-0.020464,-0.014816,-0.014796,0.0
277.2,-0.036449,-0.032809,-0.032898,0.0
277.4,0.003670,0.002470,0.002779,0.0
277.6,-0.010494,-0.009485,-0.010100,0.0
277.8,0.007559,0.005281,0.005213,0.0
278.0,-0.009962,-0.007682,-0.006982,0.0
278.2,0.006494,0.009728,0.009544,0.0
278.4,-0.008313,-0.008156,-0.008090,0.0
278.6,0.027284,0.027767,0.027803,0.0
278.8,0.005311,0.006542,0.007712,0.0
279.0,0.025224,0.020621,0.020686,0.0
279.2,0.009520,0.011059,0.010846,0.0
279.4,0.026978,0.029597,0.029077,0.0
279.6,0.004270,0.002876,0.003413,0.0
279.8,0.007180,0.008395,0.007460,0.0
280.0,0.008491,0.006979,0.007102,0.0
280.2,0.015071,0.019354,0.018949,0.0
280.4,0.033284,0.035545,0.035541,0.0
280.6,-0.022992,-0.021503,-0.021748,0.0
280.8,-0.019146,-0.019187,-0.020183,0.0
281.0,-0.034569,-0.033872,-0.034462,0.0
281.2,-0.012577,-0.007559,-0.008239,0.0
281.4,-0.013110,-0.013172,-0.014530,0.0
281.6,-0.017916,-0.018932,-0.017569,0.0
281.8,-0.007031,-0.004763,-0.003483,0.0
282.0,-0.014420,-0.017703,-0.018523,0.0
282.2,-0.015497,-0.013613,-0.014221,0.0
282.4,-0.037768,-0.041476,-0.041244,0.0
282.6,-0.009525,-0.014023,-0.014399,0.0
282.8,-0.014267,-0.014828,-0.016170,0.0
283.0,-0.018871,-0.019065,-0.018123,0.0
283.2,-0.026656,-0.029988,-0.030129,0.0
283.4,-0.016190,-0.017172,-0.017213,0.0
283.6,0.004236,0.004093,0.004379,0.0
283.8,0.026134,0.022436,0.021775,0.0
284.0,0.002132,0.002599,0.003155,0.0
284.2,-0.005176,-0.000125,0.000192,0.0
284.4,-0.002152,-0.005912,-0.006558,0.0
284.6,0.016000,0.021333,0.022932,0.0
284.8,0.034720,0.038343,0.038043,0.0
285.0,0.015191,0.015508,0.015658,0.0
285.2,0.039010,0.039526,0.039054,0.0
285.4,-0.011985,-0.008534,-0.007201,0.0
285.6,0.012661,0.009162,0.009032,0.0
285.8,-0.021499,-0.019468,-0.019715,0.0
286.0,0.015474,0.012098,0.011570,0.0
286.2,0.021367,0.024362,0.023411,0.0
286.4,-0.004052,-0.004499,-0.004362,0.0
286.6,-0.010655,-0.013638,-0.014637,0.0
286.8,-0.026130,-0.027154,-0.027561,0.0
287.0,-0.016118,-0.015459,-0.016465,0.0
287.2,-0.005153,-0.005865,-0.004247,0.0
287.4,-0.009153,-0.011560,-0.010421,0.0
287.6,-0.028910,-0.033771,-0.032452,0.0
287.8,-0.032255,-0.030734,-0.029545,0.0
288.0,-0.029352,-0.030221,-0.030533,0.0
288.2,-0.017752,-0.018218,-0.018852,0.0
288.4,-0.021185,-0.021896,-0.020085,0.0
288.6,0.008062,0.004551,0.006039,0.0
288.8,-0.011952,-0.014584,-0.014762,0.0
289.0,0.001356,0.004616,0.004874,0.0
289.2,-0.010631,-0.012833,-0.011460,0.0
289.4,-0.000273,-0.003878,-0.004415,0.0
289.6,0.031415,0.028765,0.028036,0.0
289.8,0.005425,0.009593,0.009411,0.0
290.0,0.021904,0.024085,0.024251,0.0
290.2,0.006870,0.003188,0.003082,0.0
290.4,0.011376,0.011709,0.010991,0.0
290.6,0.013043,0.011556,0.009916,0.0
290.8,0.032732,0.033588,0.033777,0.0
291.0,0.003958,0.004704,0.005055,0.0
291.2,-0.010313,-0.010168,-0.009909,0.0
291.4,-0.005715,-0.011925,-0.012629,0.0
291.6,0.001924,0.001367,0.002021,0.0
291.8,-0.003790,-0.002362,-0.002437,0.0
292.0,0.009759,0.005476,0.004051,0.0
292.2,-0.009375,-0.013222,-0.013533,0.0
292.4,-0.001457,-0.002887,-0.003415,0.0
292.6,-0.020567,-0.020764,-0.019511,0.0
292.8,-0.043036,-0.043677,-0.043227,0.0
293.0,-0.014882,-0.011995,-0.012331,0.0
293.2,-0.017267,-0.016188,-0.016673,0.0
293.4,-0.006123,-0.007033,-0.007192,0.0
293.6,-0.016811,-0.019415,-0.018856,0.0
293.8,-0.026094,-0.022370,-0.021536,0.0
294.0,-0.020565,-0.022053,-0.021209,0.0
294.2,-0.002046,-0.001190,0.000578,0.0
294.4,-0.001786,-0.000194,0.000095,0.0
294.6,-0.018664,-0.013359,-0.012373,0.0
294.8,0.017635,0.020762,0.021378,0.0
295.0,0.002493,0.001030,0.000420,0.0
295.2,0.016427,0.018305,0.016844,0.0
295.4,-0.007236,-0.010100,-0.009652,0.0
