################################################################
#  WORST-CASE GAMMA SEARCH                                     #
#                                                              #
#  For each N: sample diverse IC classes, measure gamma.       #
#  Report the MAXIMUM gamma found.                             #
#  If max gamma < 2 at all N: subcritical transfer.            #
################################################################

  N     IC_type          alpha  phase   t      gamma    max_eta   E_tot     Omega
  4     spectral_decay   2.0    0.7    0.0000  -999.000    0.0000  7.95e-01  3.58e+00
  4     spectral_decay   2.0    0.7    0.0100   +0.718    0.6558  7.94e-01  3.58e+00
  4     spectral_decay   2.0    0.7    0.0500   +0.718    3.9037  7.91e-01  3.55e+00
  4     spectral_decay   2.0    1.1    0.0000  -999.000    0.0000  7.20e-01  3.63e+00
  4     spectral_decay   2.0    1.1    0.0100   +1.976    0.4405  7.19e-01  3.62e+00
  4     spectral_decay   2.0    1.1    0.0500   +1.967    2.6137  7.16e-01  3.60e+00
  4     spectral_decay   2.0    2.3    0.0000  -999.000    0.0000  7.71e-01  3.67e+00
  4     spectral_decay   2.0    2.3    0.0100   +1.267    0.3450  7.70e-01  3.67e+00
  4     spectral_decay   2.0    2.3    0.0500   +1.264    2.0645  7.67e-01  3.64e+00
  4     spectral_decay   2.0    3.7    0.0000  -999.000    0.0000  8.33e-01  3.64e+00
  4     spectral_decay   2.0    3.7    0.0100   +0.674    0.6186  8.32e-01  3.63e+00
  4     spectral_decay   2.0    3.7    0.0500   +0.672    3.6820  8.29e-01  3.61e+00
  4     spectral_decay   3.0    0.3    0.0000  -999.000    0.0000  3.25e-01  7.90e-01
  4     spectral_decay   3.0    0.3    0.0100   +0.190    0.3986  3.25e-01  7.90e-01
  4     spectral_decay   3.0    0.3    0.0500   +0.185    2.3724  3.24e-01  7.87e-01
  4     spectral_decay   3.0    0.7    0.0000  -999.000    0.0000  3.61e-01  7.95e-01
  4     spectral_decay   3.0    0.7    0.0100   -0.230    0.1992  3.61e-01  7.94e-01
  4     spectral_decay   3.0    0.7    0.0500   -0.234    1.1904  3.61e-01  7.91e-01
  4     spectral_decay   3.0    1.1    0.0000  -999.000    0.0000  2.79e-01  7.20e-01
  4     spectral_decay   3.0    1.1    0.0100   +0.843    0.2695  2.79e-01  7.19e-01
  4     spectral_decay   3.0    1.1    0.0500   +0.839    1.6074  2.78e-01  7.16e-01
  4     spectral_decay   3.0    2.3    0.0000  -999.000    0.0000  3.06e-01  7.71e-01
  4     spectral_decay   3.0    2.3    0.0100   +0.383    0.2530  3.06e-01  7.70e-01
  4     spectral_decay   3.0    2.3    0.0500   +0.385    1.5088  3.05e-01  7.67e-01
  4     spectral_decay   3.0    3.7    0.0000  -999.000    0.0000  3.78e-01  8.33e-01
  4     spectral_decay   3.0    3.7    0.0100   +0.025    0.2201  3.78e-01  8.32e-01
  4     spectral_decay   3.0    3.7    0.0500   +0.020    1.3174  3.77e-01  8.29e-01
  4     flat_spectrum    0.0    0.3    0.0000  -999.000    0.0000  3.21e-02  3.23e-01
  4     flat_spectrum    0.0    0.3    0.0100   +1.397    0.1751  3.20e-02  3.22e-01
  4     flat_spectrum    0.0    0.3    0.0500   +1.400    1.0369  3.17e-02  3.19e-01
  4     flat_spectrum    0.0    0.7    0.0000  -999.000    0.0000  2.84e-02  2.90e-01
  4     flat_spectrum    0.0    0.7    0.0100   +1.446    0.0631  2.83e-02  2.90e-01
  4     flat_spectrum    0.0    0.7    0.0500   +1.442    0.3732  2.80e-02  2.87e-01
  4     flat_spectrum    0.0    1.1    0.0000  -999.000    0.0000  3.47e-02  3.43e-01
  4     flat_spectrum    0.0    1.1    0.0100   +1.229    0.0940  3.46e-02  3.42e-01
  4     flat_spectrum    0.0    1.1    0.0500   +1.233    0.5568  3.43e-02  3.38e-01
  4     flat_spectrum    0.0    2.3    0.0000  -999.000    0.0000  3.56e-02  3.59e-01
  4     flat_spectrum    0.0    2.3    0.0100   +2.310    0.0984  3.56e-02  3.58e-01
  4     flat_spectrum    0.0    2.3    0.0500   +2.313    0.5807  3.52e-02  3.54e-01
  4     flat_spectrum    0.0    3.7    0.0000  -999.000    0.0000  3.11e-02  3.25e-01
  4     flat_spectrum    0.0    3.7    0.0100   +2.047    0.0626  3.10e-02  3.24e-01
  4     flat_spectrum    0.0    3.7    0.0500   +2.046    0.3703  3.07e-02  3.21e-01
  4     single_shell_1   0.0    0.5    0.0000  -999.000    0.0000  1.05e+00  1.94e+00
  4     single_shell_1   0.0    0.5    0.0100   -8.142  4999.8713  1.05e+00  1.94e+00
  4     single_shell_1   0.0    0.5    0.0500   -5.172  831.1881  1.05e+00  1.94e+00
  4     single_shell_2   0.0    0.5    0.0000  -999.000    0.0000  5.39e+00  2.85e+01
  4     single_shell_2   0.0    0.5    0.0100   +2.700  20002.0558  5.38e+00  2.85e+01
  4     single_shell_2   0.0    0.5    0.0500   +2.651  3379.5557  5.35e+00  2.87e+01
  4     single_shell_3   0.0    0.5    0.0000  -999.000    0.0000  1.33e+01  1.34e+02
  4     single_shell_3   0.0    0.5    0.0100   +3.592  19984.8111  1.33e+01  1.34e+02
  4     single_shell_3   0.0    0.5    0.0500   +3.550  3322.3465  1.32e+01  1.33e+02
  4     single_shell_4   0.0    0.5    0.0000  -999.000    0.0000  1.00e+01  1.39e+02
  4     single_shell_4   0.0    0.5    0.0100   +2.781  19961.8831  1.00e+01  1.39e+02
  4     single_shell_4   0.0    0.5    0.0500   +2.779  3234.9246  9.86e+00  1.36e+02
  4     random_phase     1.27   rnd    0.0000  -999.000    0.0000  2.57e-01  1.92e+00
  4     random_phase     2.01   rnd    0.0000  -999.000    0.0000  9.60e-02  4.00e-01
  4     random_phase     2.10   rnd    0.0000  -999.000    0.0000  7.87e-02  3.23e-01
  4     random_phase     0.80   rnd    0.0000  -999.000    0.0000  6.02e-01  5.24e+00
  4     random_phase     1.38   rnd    0.0000  -999.000    0.0000  2.17e-01  1.40e+00

  >>> N=4: WORST gamma = +3.7324 (from: spectral a=0.0 p=0.3 t=0.01)
  >>> N=4: WORST eta   = 20002.055838
  >>> N=4: gamma < 2?  **NO** (margin = -1.7324)

  5     spectral_decay   0.0    0.3    0.0000  -999.000    0.0000  6.71e+01  1.05e+03
  5     spectral_decay   0.0    0.3    0.0100   +2.089  529.5455  6.69e+01  1.05e+03
  5     spectral_decay   0.0    0.3    0.0500   +2.411  830.9164  6.59e+01  1.04e+03
  5     spectral_decay   0.0    0.7    0.0000  -999.000    0.0000  7.48e+01  1.18e+03
  5     spectral_decay   0.0    0.7    0.0100   +1.209  132.6305  7.46e+01  1.18e+03
  5     spectral_decay   0.0    0.7    0.0500   +1.774  512.0086  7.35e+01  1.17e+03
  5     spectral_decay   0.0    1.1    0.0000  -999.000    0.0000  7.10e+01  1.11e+03
  5     spectral_decay   0.0    1.1    0.0100   +0.870  111.2880  7.08e+01  1.11e+03
  5     spectral_decay   0.0    1.1    0.0500   +1.952  245.7611  6.98e+01  1.09e+03
  5     spectral_decay   0.0    2.3    0.0000  -999.000    0.0000  6.80e+01  1.06e+03
  5     spectral_decay   0.0    2.3    0.0100   -0.133  237.6169  6.78e+01  1.05e+03
  5     spectral_decay   0.0    2.3    0.0500   +1.303  604.8809  6.68e+01  1.04e+03
