############################################################
#  LEMMA 9.5 VERIFICATION                                  #
#                                                          #
#  Verify: R_K = |T_K| / (E · Ω^{1/2} · K^{γ-1})       #
#  is bounded at all K, all t, all (A, ν).                #
#  γ = 1.5 (from lemma proof)                            #
#                                                          #
#  If max R_K < ∞: Lemma holds with C = max R_K.         #
############################################################

  ν     Amp    Step    Time     Energy      Enstrophy   R_k=1     R_k=2     R_k=3     R_k=4     R_k=5     R_k=6     R_k=7     R_k=8     maxR    BOUNDED?
  0.010  0.3    5000     0.5000   10.536372  387.341448     0.0015    0.0002    0.0013    0.0006    0.0015    0.0007    0.0021    0.0002   0.0021  YES
  → Case max R = 0.021387

  0.010  0.5    200      0.0200   40.805185  1308.311554     0.0012    0.0053    0.0108    0.0114    0.0148    0.0129    0.0107    0.0000   0.0148  YES
  0.010  0.5    400      0.0400   40.302909  1333.164508     0.0029    0.0108    0.0192    0.0168    0.0179    0.0141    0.0136    0.0001   0.0192  YES
  0.010  0.5    600      0.0600   39.789742  1350.741797     0.0033    0.0097    0.0139    0.0100    0.0110    0.0094    0.0077    0.0001   0.0139  YES
  0.010  0.5    800      0.0800   39.270875  1358.274053     0.0033    0.0073    0.0071    0.0062    0.0070    0.0063    0.0036    0.0001   0.0073  YES
  0.010  0.5    1000     0.1000   38.750216  1359.791498     0.0032    0.0059    0.0030    0.0054    0.0019    0.0022    0.0034    0.0002   0.0059  YES
  0.010  0.5    1200     0.1200   38.229487  1356.962970     0.0033    0.0049    0.0014    0.0054    0.0019    0.0003    0.0011    0.0001   0.0054  YES
  0.010  0.5    1400     0.1400   37.710176  1349.099754     0.0034    0.0038    0.0012    0.0040    0.0023    0.0011    0.0011    0.0001   0.0040  YES
  0.010  0.5    1600     0.1600   37.194163  1335.875363     0.0034    0.0028    0.0013    0.0009    0.0007    0.0016    0.0007    0.0001   0.0034  YES
  0.010  0.5    1800     0.1800   36.683149  1318.751293     0.0031    0.0018    0.0013    0.0017    0.0006    0.0015    0.0006    0.0001   0.0031  YES
  0.010  0.5    2000     0.2000   36.177718  1303.503667     0.0027    0.0011    0.0011    0.0018    0.0015    0.0001    0.0004    0.0001   0.0027  YES
  0.010  0.5    2200     0.2200   35.676233  1294.888169     0.0022    0.0004    0.0014    0.0010    0.0026    0.0009    0.0012    0.0002   0.0026  YES
  0.010  0.5    2400     0.2400   35.176405  1290.614873     0.0018    0.0001    0.0019    0.0007    0.0029    0.0010    0.0017    0.0001   0.0029  YES
  0.010  0.5    2600     0.2600   34.677733  1284.686402     0.0015    0.0003    0.0022    0.0007    0.0018    0.0012    0.0011    0.0002   0.0022  YES
  0.010  0.5    2800     0.2800   34.181633  1273.960726     0.0014    0.0003    0.0018    0.0003    0.0011    0.0015    0.0009    0.0003   0.0018  YES
  0.010  0.5    3000     0.3000   33.689894  1259.325481     0.0013    0.0001    0.0010    0.0007    0.0012    0.0008    0.0019    0.0002   0.0019  YES
  0.010  0.5    3200     0.3200   33.203789  1242.641340     0.0013    0.0003    0.0002    0.0016    0.0009    0.0009    0.0030    0.0002   0.0030  YES
  0.010  0.5    3400     0.3400   32.724100  1224.620180     0.0012    0.0006    0.0001    0.0022    0.0004    0.0026    0.0031    0.0003   0.0031  YES
  0.010  0.5    3600     0.3600   32.251472  1205.082029     0.0010    0.0006    0.0001    0.0025    0.0019    0.0034    0.0023    0.0003   0.0034  YES
  0.010  0.5    3800     0.3800   31.786452  1184.409040     0.0007    0.0005    0.0003    0.0021    0.0029    0.0026    0.0007    0.0002   0.0029  YES
  0.010  0.5    4000     0.4000   31.329189  1163.903759     0.0003    0.0005    0.0007    0.0008    0.0030    0.0008    0.0009    0.0001   0.0030  YES
  0.010  0.5    4200     0.4200   30.879342  1144.681856     0.0002    0.0006    0.0010    0.0008    0.0019    0.0003    0.0017    0.0001   0.0019  YES
  0.010  0.5    4400     0.4400   30.436327  1127.213999     0.0002    0.0004    0.0011    0.0019    0.0000    0.0001    0.0013    0.0002   0.0019  YES
  0.010  0.5    4600     0.4600   29.999375  1112.257996     0.0005    0.0000    0.0009    0.0021    0.0021    0.0003    0.0002    0.0003   0.0021  YES
  0.010  0.5    4800     0.4800   29.567391  1100.363941     0.0007    0.0003    0.0008    0.0016    0.0039    0.0001    0.0013    0.0002   0.0039  YES
  0.010  0.5    5000     0.5000   29.139417  1090.133005     0.0009    0.0004    0.0008    0.0006    0.0049    0.0011    0.0031    0.0001   0.0049  YES
  → Case max R = 0.019233

  0.005  0.1    200      0.0200    1.641564   51.803662     0.0003    0.0011    0.0024    0.0027    0.0038    0.0034    0.0028    0.0000   0.0038  YES
  0.005  0.1    400      0.0400    1.631280   51.504362     0.0008    0.0035    0.0073    0.0080    0.0111    0.0100    0.0080    0.0000   0.0111  YES
  0.005  0.1    600      0.0600    1.621047   51.282566     0.0013    0.0056    0.0116    0.0125    0.0168    0.0148    0.0120    0.0000   0.0168  YES
  0.005  0.1    800      0.0800    1.610852   51.124612     0.0017    0.0075    0.0152    0.0159    0.0204    0.0175    0.0144    0.0001   0.0204  YES
  0.005  0.1    1000     0.1000    1.600681   51.014435     0.0021    0.0090    0.0178    0.0179    0.0219    0.0181    0.0153    0.0001   0.0219  YES
  0.005  0.1    1200     0.1200    1.590528   50.935592     0.0025    0.0101    0.0195    0.0187    0.0216    0.0173    0.0151    0.0001   0.0216  YES
  0.005  0.1    1400     0.1400    1.580388   50.873210     0.0028    0.0109    0.0203    0.0185    0.0202    0.0157    0.0144    0.0001   0.0203  YES
  0.005  0.1    1600     0.1600    1.570259   50.815247     0.0030    0.0113    0.0203    0.0176    0.0182    0.0139    0.0135    0.0001   0.0203  YES
  0.005  0.1    1800     0.1800    1.560140   50.752875     0.0032    0.0115    0.0198    0.0162    0.0162    0.0123    0.0124    0.0002   0.0198  YES
  0.005  0.1    2000     0.2000    1.550034   50.680182     0.0033    0.0114    0.0188    0.0146    0.0144    0.0111    0.0113    0.0002   0.0188  YES
  0.005  0.1    2200     0.2200    1.539943   50.593580     0.0034    0.0111    0.0176    0.0130    0.0129    0.0103    0.0100    0.0001   0.0176  YES
  0.005  0.1    2400     0.2400    1.529870   50.491182     0.0035    0.0107    0.0162    0.0115    0.0119    0.0098    0.0087    0.0001   0.0162  YES
  0.005  0.1    2600     0.2600    1.519819   50.372331     0.0035    0.0102    0.0147    0.0102    0.0111    0.0094    0.0073    0.0001   0.0147  YES
  0.005  0.1    2800     0.2800    1.509792   50.237239     0.0036    0.0097    0.0132    0.0091    0.0105    0.0090    0.0059    0.0001   0.0132  YES
  0.005  0.1    3000     0.3000    1.499793   50.086750     0.0036    0.0092    0.0117    0.0083    0.0099    0.0085    0.0047    0.0001   0.0117  YES
  0.005  0.1    3200     0.3200    1.489825   49.922130     0.0036    0.0087    0.0103    0.0076    0.0092    0.0079    0.0037    0.0001   0.0103  YES
  0.005  0.1    3400     0.3400    1.479891   49.744892     0.0036    0.0082    0.0090    0.0070    0.0084    0.0072    0.0030    0.0001   0.0090  YES
  0.005  0.1    3600     0.3600    1.469994   49.556643     0.0036    0.0078    0.0078    0.0066    0.0076    0.0064    0.0027    0.0001   0.0078  YES
  0.005  0.1    3800     0.3800    1.460134   49.358953     0.0036    0.0075    0.0067    0.0064    0.0066    0.0055    0.0026    0.0001   0.0075  YES
  0.005  0.1    4000     0.4000    1.450315   49.153262     0.0036    0.0072    0.0057    0.0061    0.0056    0.0047    0.0026    0.0001   0.0072  YES
  0.005  0.1    4200     0.4200    1.440537   48.940830     0.0036    0.0069    0.0049    0.0060    0.0046    0.0038    0.0028    0.0002   0.0069  YES
  0.005  0.1    4400     0.4400    1.430802   48.722714     0.0036    0.0067    0.0041    0.0060    0.0035    0.0030    0.0028    0.0002   0.0067  YES
  0.005  0.1    4600     0.4600    1.421111   48.499773     0.0036    0.0065    0.0035    0.0059    0.0025    0.0022    0.0028    0.0002   0.0065  YES
